全国 现有感染599人 新增感染178人 累计感染644人 现有疑似25人 新增疑似3人 累计治愈30人 新增治愈2人 累计死亡17人 新增死亡8人
安徽 现有感染9人 新增感染8人 累计感染8人 现有疑似3人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
北京 现有感染26人 新增感染12人 累计感染26人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
重庆 现有感染9人 新增感染3人 累计感染9人 现有疑似13人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
福建 现有感染5人 新增感染4人 累计感染5人 现有疑似2人 新增疑似2人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
甘肃 现有感染2人 新增感染2人 累计感染2人 现有疑似1人 新增疑似1人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
广东 现有感染51人 新增感染21人 累计感染53人 现有疑似4人 新增疑似0人 累计治愈2人 新增治愈2人 累计死亡0人 新增死亡0人
广西 现有感染15人 新增感染11人 累计感染15人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
贵州 现有感染3人 新增感染0人 累计感染3人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
海南 现有感染8人 新增感染4人 累计感染8人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
河北 现有感染2人 新增感染1人 累计感染2人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
河南 现有感染5人 新增感染4人 累计感染5人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
黑龙江 现有感染1人 新增感染0人 累计感染0人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
湖北 现有感染399人 新增感染69人 累计感染444人 现有疑似0人 新增疑似0人 累计治愈28人 新增治愈0人 累计死亡34人 新增死亡0人
吉林 现有感染1人 新增感染1人 累计感染1人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
江苏 现有感染1人 新增感染1人 累计感染1人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
江西 现有感染3人 新增感染1人 累计感染3人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
辽宁 现有感染2人 新增感染2人 累计感染2人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
宁夏 现有感染1人 新增感染1人 累计感染1人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山西 现有感染1人 新增感染1人 累计感染1人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
上海 现有感染16人 新增感染7人 累计感染16人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
四川 现有感染8人 新增感染6人 累计感染8人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
天津 现有感染4人 新增感染2人 累计感染4人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
浙江 现有感染27人 新增感染17人 累计感染27人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
// 该文档并非真实数据，仅供测试使用
// 该文档并非真实数据，仅供测试使用
